customer_id,name,gender,age,city,segment
1,Customer_1,Male,49,Cape Town,Regular
2,Customer_2,Male,53,Cape Town,Wholesale
3,Customer_3,Female,67,Johannesburg,Premium
4,Customer_4,Male,54,Cape Town,Regular
5,Customer_5,Female,65,Pretoria,Regular
6,Customer_6,Male,31,Bloemfontein,Regular
7,Customer_7,Female,44,Johannesburg,Regular
8,Customer_8,Female,36,Johannesburg,Premium
9,Customer_9,Male,48,Bloemfontein,Regular
10,Customer_10,Male,63,Johannesburg,Premium
11,Customer_11,Male,26,Durban,Regular
12,Customer_12,Female,55,Johannesburg,Wholesale
13,Customer_13,Female,34,Cape Town,Premium
14,Customer_14,Female,36,Johannesburg,Regular
15,Customer_15,Male,61,Pretoria,Regular
16,Customer_16,Male,21,Pretoria,Regular
17,Customer_17,Male,65,Johannesburg,Regular
18,Customer_18,Male,28,Pretoria,Regular
19,Customer_19,Female,39,Cape Town,Regular
20,Customer_20,Female,21,Johannesburg,Regular
21,Customer_21,Female,34,Pretoria,Regular
22,Customer_22,Male,25,Durban,Regular
23,Customer_23,Female,63,Johannesburg,Regular
24,Customer_24,Female,51,Johannesburg,Regular
25,Customer_25,Female,28,Bloemfontein,Regular
26,Customer_26,Female,48,Pretoria,Premium
27,Customer_27,Male,28,Pretoria,Regular
28,Customer_28,Male,55,Johannesburg,Regular
29,Customer_29,Female,38,Pretoria,Regular
30,Customer_30,Male,63,Johannesburg,Regular
31,Customer_31,Male,47,Bloemfontein,Regular
32,Customer_32,Female,27,Johannesburg,Regular
33,Customer_33,Female,43,Cape Town,Regular
34,Customer_34,Female,44,Cape Town,Wholesale
35,Customer_35,Male,25,Pretoria,Wholesale
36,Customer_36,Male,56,Pretoria,Premium
37,Customer_37,Female,25,Cape Town,Regular
38,Customer_38,Female,25,Durban,Regular
39,Customer_39,Female,51,Pretoria,Premium
40,Customer_40,Female,33,Johannesburg,Regular
41,Customer_41,Female,58,Pretoria,Regular
42,Customer_42,Female,30,Bloemfontein,Regular
43,Customer_43,Male,40,Johannesburg,Regular
44,Customer_44,Female,29,Johannesburg,Wholesale
45,Customer_45,Female,44,Cape Town,Regular
46,Customer_46,Female,39,Johannesburg,Premium
47,Customer_47,Female,49,Cape Town,Regular
48,Customer_48,Female,66,Durban,Regular
49,Customer_49,Male,44,Durban,Regular
50,Customer_50,Female,19,Johannesburg,Regular
51,Customer_51,Male,62,Durban,Wholesale
52,Customer_52,Female,50,Durban,Premium
53,Customer_53,Male,43,Bloemfontein,Wholesale
54,Customer_54,Male,45,Johannesburg,Premium
55,Customer_55,Male,36,Durban,Regular
56,Customer_56,Female,60,Bloemfontein,Wholesale
57,Customer_57,Male,22,Cape Town,Regular
58,Customer_58,Male,50,Cape Town,Regular
59,Customer_59,Female,37,Johannesburg,Regular
60,Customer_60,Male,47,Pretoria,Regular
61,Customer_61,Female,62,Cape Town,Regular
62,Customer_62,Female,25,Bloemfontein,Regular
63,Customer_63,Female,55,Pretoria,Premium
64,Customer_64,Male,34,Cape Town,Regular
65,Customer_65,Female,61,Durban,Regular
66,Customer_66,Male,18,Johannesburg,Regular
67,Customer_67,Male,20,Johannesburg,Regular
68,Customer_68,Male,63,Durban,Premium
69,Customer_69,Female,43,Durban,Regular
70,Customer_70,Male,48,Cape Town,Wholesale
71,Customer_71,Female,25,Pretoria,Premium
72,Customer_72,Female,60,Johannesburg,Regular
73,Customer_73,Female,63,Cape Town,Regular
74,Customer_74,Male,25,Cape Town,Premium
75,Customer_75,Female,52,Cape Town,Premium
76,Customer_76,Female,56,Bloemfontein,Premium
77,Customer_77,Female,45,Durban,Premium
78,Customer_78,Male,68,Cape Town,Regular
79,Customer_79,Female,21,Cape Town,Regular
80,Customer_80,Male,33,Johannesburg,Regular
81,Customer_81,Male,30,Cape Town,Premium
82,Customer_82,Male,37,Durban,Premium
83,Customer_83,Female,68,Bloemfontein,Regular
84,Customer_84,Male,22,Pretoria,Regular
85,Customer_85,Male,54,Johannesburg,Regular
86,Customer_86,Female,37,Cape Town,Regular
87,Customer_87,Female,41,Johannesburg,Premium
88,Customer_88,Male,53,Johannesburg,Premium
89,Customer_89,Female,51,Cape Town,Premium
90,Customer_90,Male,62,Cape Town,Regular
91,Customer_91,Male,65,Johannesburg,Regular
92,Customer_92,Male,51,Durban,Premium
93,Customer_93,Female,36,Durban,Premium
94,Customer_94,Male,34,Johannesburg,Regular
95,Customer_95,Male,22,Pretoria,Premium
96,Customer_96,Male,42,Johannesburg,Regular
97,Customer_97,Female,35,Cape Town,Regular
98,Customer_98,Male,67,Pretoria,Regular
99,Customer_99,Male,25,Cape Town,Regular
100,Customer_100,Male,44,Bloemfontein,Regular
101,Customer_101,Male,32,Johannesburg,Regular
102,Customer_102,Female,62,Durban,Premium
103,Customer_103,Female,30,Durban,Regular
104,Customer_104,Male,33,Durban,Regular
105,Customer_105,Male,39,Pretoria,Wholesale
106,Customer_106,Male,37,Durban,Regular
107,Customer_107,Male,30,Pretoria,Regular
108,Customer_108,Male,37,Johannesburg,Premium
109,Customer_109,Female,19,Cape Town,Regular
110,Customer_110,Female,52,Durban,Regular
111,Customer_111,Female,64,Cape Town,Regular
112,Customer_112,Female,36,Bloemfontein,Regular
113,Customer_113,Female,62,Johannesburg,Wholesale
114,Customer_114,Female,54,Cape Town,Premium
115,Customer_115,Male,23,Durban,Premium
116,Customer_116,Female,31,Pretoria,Premium
117,Customer_117,Male,21,Bloemfontein,Premium
118,Customer_118,Female,39,Johannesburg,Regular
119,Customer_119,Female,68,Johannesburg,Premium
120,Customer_120,Male,56,Cape Town,Regular
121,Customer_121,Male,53,Cape Town,Premium
122,Customer_122,Female,51,Bloemfontein,Premium
123,Customer_123,Male,44,Cape Town,Regular
124,Customer_124,Female,24,Johannesburg,Regular
125,Customer_125,Female,20,Cape Town,Regular
126,Customer_126,Female,64,Cape Town,Regular
127,Customer_127,Female,50,Pretoria,Premium
128,Customer_128,Male,19,Johannesburg,Premium
129,Customer_129,Male,59,Johannesburg,Regular
130,Customer_130,Female,33,Bloemfontein,Regular
131,Customer_131,Female,42,Johannesburg,Regular
132,Customer_132,Female,32,Pretoria,Regular
133,Customer_133,Male,41,Cape Town,Regular
134,Customer_134,Male,32,Durban,Regular
135,Customer_135,Female,48,Johannesburg,Wholesale
136,Customer_136,Male,31,Johannesburg,Regular
137,Customer_137,Female,31,Cape Town,Regular
138,Customer_138,Male,23,Johannesburg,Premium
139,Customer_139,Female,31,Cape Town,Regular
140,Customer_140,Female,34,Johannesburg,Wholesale
141,Customer_141,Female,35,Durban,Wholesale
142,Customer_142,Male,37,Bloemfontein,Regular
143,Customer_143,Female,68,Johannesburg,Regular
144,Customer_144,Female,34,Johannesburg,Regular
145,Customer_145,Male,33,Pretoria,Regular
146,Customer_146,Female,57,Durban,Regular
147,Customer_147,Female,56,Johannesburg,Regular
148,Customer_148,Female,69,Cape Town,Regular
149,Customer_149,Female,49,Johannesburg,Regular
150,Customer_150,Male,61,Johannesburg,Regular
151,Customer_151,Male,26,Bloemfontein,Wholesale
152,Customer_152,Male,44,Pretoria,Regular
153,Customer_153,Female,63,Durban,Regular
154,Customer_154,Female,69,Johannesburg,Regular
155,Customer_155,Female,50,Johannesburg,Wholesale
156,Customer_156,Male,27,Pretoria,Regular
157,Customer_157,Male,34,Johannesburg,Premium
158,Customer_158,Female,66,Cape Town,Premium
159,Customer_159,Male,66,Johannesburg,Regular
