order_item_id,order_id,product_id,quantity,discount
1,1,363,1,0.0
2,2,408,1,0.0
3,3,355,3,0.05
4,4,322,1,0.0
5,5,289,8,0.0
6,6,487,2,0.0
7,7,457,2,0.15
8,8,6,6,0.0
9,9,276,4,0.0
10,10,352,3,0.0
11,11,286,2,0.0
12,12,488,4,0.0
13,13,487,3,0.15
14,14,97,2,0.0
15,15,218,1,0.0
16,16,50,4,0.25
17,17,92,6,0.0
18,18,134,3,0.0
19,19,242,4,0.0
20,20,323,4,0.25
21,21,424,1,0.0
22,22,323,1,0.05
23,23,395,4,0.0
24,24,349,2,0.1
25,25,371,4,0.0
26,26,89,3,0.05
27,27,131,2,0.1
28,28,15,2,0.0
29,29,343,1,0.0
30,30,24,2,0.05
31,31,157,6,0.0
32,32,328,4,0.0
33,33,233,2,0.0
34,34,131,5,0.25
35,35,489,8,0.0
36,36,172,4,0.0
37,37,105,6,0.05
38,38,324,4,0.15
39,39,131,1,0.0
40,40,491,2,0.0
41,41,100,1,0.05
42,42,158,2,0.0
43,43,124,7,0.0
44,44,11,1,0.0
45,45,419,6,0.15
46,46,215,3,0.0
47,47,104,4,0.0
48,48,222,3,0.25
49,49,330,3,0.4
50,50,453,11,0.15
51,51,118,5,0.0
52,52,369,2,0.0
53,53,319,1,0.0
54,54,211,3,0.0
55,55,431,2,0.0
56,56,110,9,0.05
57,57,119,4,0.0
58,58,500,1,0.0
59,59,423,7,0.0
60,60,436,6,0.0
61,61,185,5,0.0
62,62,91,1,0.0
63,63,264,3,0.15
64,64,189,1,0.0
65,65,37,1,0.0
66,66,474,1,0.0
67,67,132,2,0.0
68,68,476,5,0.0
69,69,158,1,0.0
70,70,102,3,0.0
71,71,256,2,0.05
72,72,65,6,0.0
73,73,198,1,0.0
74,74,404,1,0.0
75,75,14,5,0.0
76,76,301,3,0.1
77,77,16,2,0.1
78,78,293,2,0.0
79,79,175,1,0.0
80,80,175,3,0.0
81,81,41,6,0.0
82,82,364,2,0.0
83,83,65,5,0.0
84,84,214,2,0.0
85,85,275,5,0.0
86,86,263,7,0.0
87,87,287,3,0.0
88,88,5,2,0.0
89,89,345,1,0.0
90,90,108,5,0.0
91,91,390,3,0.0
92,92,59,2,0.15
93,93,228,1,0.0
94,94,159,8,0.15
95,95,69,2,0.0
96,96,223,2,0.1
97,97,127,2,0.0
98,98,492,3,0.0
99,99,481,6,0.25
100,100,496,2,0.0
101,101,103,1,0.0
102,102,232,4,0.0
103,103,404,5,0.25
104,104,204,3,0.15
105,105,493,1,0.0
106,106,367,1,0.0
107,107,488,2,0.0
108,108,481,1,0.0
109,109,472,4,0.0
110,110,386,5,0.0
111,111,429,3,0.2
112,112,202,3,0.15
113,113,406,9,0.3
114,114,133,1,0.0
115,115,438,3,0.0
116,116,152,4,0.0
117,117,151,1,0.0
118,118,7,1,0.0
119,119,27,1,0.0
120,120,81,1,0.0
121,121,436,5,0.15
122,122,296,1,0.0
123,123,12,4,0.05
124,124,492,4,0.1
125,125,43,4,0.0
126,126,99,1,0.0
127,127,359,2,0.0
128,128,230,10,0.2
129,129,186,1,0.05
130,130,257,2,0.2
131,131,245,1,0.05
132,132,475,2,0.0
133,133,122,1,0.0
134,134,193,7,0.0
135,135,142,1,0.0
136,136,133,3,0.0
137,137,138,2,0.15
138,138,176,5,0.0
139,139,130,3,0.05
140,140,233,3,0.0
141,141,46,5,0.4
142,142,324,1,0.0
143,143,492,5,0.0
144,144,239,2,0.15
145,145,250,4,0.0
146,146,471,1,0.05
147,147,264,7,0.15
148,148,48,1,0.0
149,149,457,2,0.15
150,150,277,1,0.0
151,151,197,2,0.0
152,152,137,3,0.0
153,153,396,3,0.0
154,154,225,5,0.3
155,155,27,4,0.2
156,156,274,3,0.0
157,157,202,1,0.0
158,158,162,5,0.0
159,159,148,4,0.0
160,160,158,2,0.0
161,161,201,1,0.0
162,162,384,3,0.1
163,163,484,2,0.15
164,164,146,4,0.0
165,165,24,1,0.05
166,166,224,5,0.0
167,167,397,5,0.0
168,168,35,5,0.0
169,169,44,2,0.0
170,170,500,2,0.2
171,171,471,1,0.0
172,172,313,2,0.0
173,173,68,1,0.0
174,174,139,4,0.0
175,175,56,2,0.0
176,176,475,5,0.25
177,177,431,5,0.05
178,178,321,6,0.3
179,179,28,2,0.0
180,180,158,4,0.0
181,181,373,2,0.05
182,182,36,4,0.0
183,183,311,2,0.0
184,184,458,5,0.0
185,185,72,1,0.1
186,186,252,7,0.0
187,187,386,5,0.0
188,188,360,4,0.0
189,189,485,4,0.0
190,190,86,4,0.0
191,191,72,1,0.0
192,192,324,1,0.0
193,193,15,4,0.0
194,194,72,3,0.05
195,195,416,7,0.1
196,196,328,1,0.0
197,197,5,3,0.0
198,198,386,8,0.0
199,199,422,2,0.2
200,200,471,4,0.25
201,201,50,3,0.2
202,202,357,1,0.0
203,203,296,1,0.0
204,204,176,5,0.0
205,205,313,1,0.0
206,206,106,7,0.0
207,207,405,8,0.0
208,208,93,2,0.1
209,209,29,5,0.0
210,210,412,5,0.0
211,211,161,2,0.15
212,212,100,2,0.05
213,213,365,6,0.2
214,214,329,3,0.1
215,215,479,1,0.0
216,216,403,4,0.0
217,217,493,4,0.4
218,218,21,8,0.05
219,219,274,4,0.0
220,220,473,5,0.0
221,221,356,1,0.0
222,222,282,3,0.0
223,223,203,1,0.0
224,224,179,11,0.0
225,225,449,1,0.0
226,226,331,5,0.0
227,227,221,4,0.0
228,228,349,1,0.0
229,229,437,4,0.0
230,230,341,5,0.0
231,231,298,1,0.0
232,232,387,10,0.15
233,233,89,1,0.1
234,234,483,1,0.0
235,235,236,3,0.0
236,236,187,4,0.1
237,237,334,3,0.1
238,238,107,11,0.25
239,239,293,2,0.0
240,240,409,1,0.05
241,241,175,2,0.05
242,242,437,1,0.0
243,243,390,3,0.0
244,244,220,1,0.0
245,245,452,4,0.2
246,246,496,7,0.0
247,247,163,2,0.0
248,248,280,2,0.0
249,249,55,7,0.0
250,250,296,2,0.0
251,251,401,5,0.0
252,252,487,5,0.2
253,253,327,3,0.0
254,254,259,3,0.0
255,255,429,6,0.2
256,256,424,1,0.0
257,257,353,4,0.0
258,258,426,1,0.05
259,259,246,6,0.05
260,260,334,5,0.0
261,261,128,1,0.0
262,262,372,1,0.0
263,263,249,2,0.0
264,264,239,4,0.0
265,265,29,3,0.0
266,266,97,6,0.0
267,267,404,2,0.15
268,268,275,6,0.0
269,269,163,2,0.0
270,270,205,5,0.0
271,271,314,6,0.4
272,272,432,1,0.0
273,273,441,4,0.15
274,274,132,1,0.1
275,275,78,4,0.0
276,276,235,2,0.0
277,277,356,2,0.15
278,278,126,3,0.0
279,279,15,1,0.0
280,280,74,2,0.0
281,281,98,3,0.15
282,282,218,3,0.0
283,283,373,4,0.2
284,284,86,4,0.2
285,285,419,4,0.0
286,286,355,6,0.0
287,287,248,3,0.0
288,288,144,4,0.0
289,289,270,2,0.0
290,290,12,5,0.0
291,291,273,5,0.0
292,292,90,2,0.15
293,293,227,1,0.0
294,294,399,1,0.0
295,295,89,6,0.4
296,296,451,1,0.0
297,297,361,5,0.15
298,298,467,2,0.0
299,299,302,5,0.15
300,300,135,3,0.05
301,301,413,1,0.0
302,302,19,1,0.0
303,303,114,1,0.0
304,304,392,5,0.0
305,305,122,1,0.0
306,306,475,4,0.0
307,307,494,8,0.15
308,308,185,2,0.0
309,309,451,1,0.0
310,310,11,1,0.0
311,311,421,1,0.0
312,312,365,3,0.15
313,313,376,8,0.0
314,314,141,3,0.15
315,315,170,5,0.3
316,316,66,1,0.0
317,317,330,2,0.1
318,318,257,2,0.0
319,319,241,6,0.2
320,320,42,4,0.1
321,321,288,6,0.0
322,322,136,2,0.0
323,323,184,1,0.0
324,324,181,1,0.0
325,325,496,6,0.05
326,326,281,4,0.0
327,327,433,2,0.05
328,328,459,5,0.0
329,329,36,5,0.05
330,330,421,2,0.05
331,331,220,5,0.4
332,332,91,2,0.0
333,333,331,2,0.0
334,334,463,3,0.1
335,335,478,5,0.0
336,336,27,1,0.1
337,337,228,4,0.25
338,338,389,1,0.0
339,339,33,4,0.05
340,340,55,4,0.0
341,341,269,2,0.0
342,342,175,1,0.0
343,343,118,4,0.0
344,344,16,2,0.0
345,345,338,2,0.0
346,346,451,1,0.0
347,347,358,1,0.05
348,348,480,10,0.2
349,349,25,2,0.15
350,350,425,4,0.0
351,351,153,1,0.0
352,352,89,5,0.3
353,353,277,1,0.0
354,354,58,2,0.0
355,355,434,2,0.0
356,356,189,2,0.0
357,357,57,1,0.0
358,358,26,1,0.0
359,359,296,4,0.0
360,360,100,2,0.0
361,361,217,1,0.1
362,362,241,4,0.0
363,363,192,10,0.0
364,364,259,2,0.0
365,365,392,4,0.0
366,366,400,1,0.0
367,367,232,3,0.15
368,368,27,5,0.25
369,369,422,2,0.1
370,370,374,6,0.0
371,371,168,3,0.0
372,372,295,4,0.25
373,373,399,1,0.0
374,374,446,1,0.1
375,375,37,2,0.0
376,376,258,2,0.0
377,377,376,5,0.0
378,378,231,1,0.0
379,379,74,2,0.0
380,380,160,1,0.0
381,381,494,6,0.0
382,382,17,4,0.15
383,383,45,5,0.0
384,384,136,4,0.0
385,385,340,6,0.0
386,386,49,4,0.0
387,387,175,3,0.0
388,388,355,8,0.0
389,389,50,4,0.0
390,390,37,1,0.0
391,391,257,1,0.0
392,392,337,1,0.0
393,393,183,4,0.0
394,394,113,5,0.0
395,395,276,3,0.0
396,396,343,1,0.0
397,397,222,2,0.0
398,398,202,1,0.0
399,399,37,1,0.0
400,400,87,4,0.1
401,401,35,3,0.0
402,402,51,1,0.0
403,403,427,1,0.0
404,404,481,3,0.0
405,405,62,4,0.0
406,406,65,6,0.0
407,407,77,5,0.15
408,408,383,1,0.0
409,409,435,7,0.1
410,410,491,1,0.0
411,411,399,1,0.0
412,412,165,1,0.0
413,413,325,5,0.4
414,414,145,2,0.0
415,415,17,3,0.0
416,416,232,2,0.0
417,417,65,6,0.3
418,418,341,1,0.0
419,419,397,1,0.0
420,420,35,3,0.0
421,421,39,2,0.0
422,422,359,1,0.0
423,423,406,5,0.0
424,424,86,7,0.0
425,425,238,1,0.0
426,426,53,2,0.1
427,427,437,1,0.0
428,428,391,2,0.15
429,429,137,2,0.0
430,430,365,3,0.0
431,431,182,2,0.0
432,432,92,6,0.0
433,433,368,1,0.0
434,434,69,1,0.0
435,435,13,5,0.25
436,436,320,8,0.05
437,437,25,2,0.0
438,438,382,1,0.0
439,439,91,2,0.0
440,440,27,2,0.2
441,441,284,6,0.25
442,442,228,7,0.25
443,443,263,10,0.0
444,444,434,3,0.05
445,445,91,1,0.0
446,446,58,4,0.0
447,447,145,5,0.0
448,448,474,1,0.0
449,449,404,2,0.0
450,450,413,1,0.0
451,451,124,4,0.25
452,452,485,5,0.0
453,453,58,4,0.1
454,454,397,2,0.2
455,455,3,2,0.0
456,456,15,5,0.0
457,457,194,1,0.0
458,458,19,1,0.0
459,459,76,1,0.0
460,460,202,1,0.0
461,461,196,1,0.0
462,462,259,1,0.0
463,463,257,8,0.25
464,464,176,7,0.4
465,465,416,8,0.0
466,466,255,4,0.0
467,467,413,2,0.05
468,468,68,1,0.0
469,469,356,1,0.0
470,470,94,8,0.0
471,471,165,1,0.0
472,472,213,1,0.0
473,473,356,1,0.0
474,474,44,1,0.0
475,475,154,5,0.0
476,476,29,1,0.0
477,477,424,1,0.0
478,478,305,4,0.0
479,479,407,2,0.0
480,480,26,2,0.0
481,481,311,7,0.0
482,482,145,8,0.0
483,483,105,6,0.0
484,484,32,1,0.05
485,485,256,5,0.15
486,486,2,7,0.0
487,487,444,5,0.1
488,488,213,1,0.0
489,489,249,3,0.0
490,490,37,1,0.0
491,491,211,3,0.0
492,492,240,1,0.0
493,493,173,1,0.0
494,494,203,2,0.0
495,495,220,3,0.25
496,496,483,1,0.0
497,497,81,4,0.4
498,498,410,1,0.0
499,499,18,4,0.0
500,500,284,1,0.0
501,501,188,3,0.0
502,502,22,2,0.0
503,503,57,2,0.0
504,504,353,11,0.1
505,505,422,1,0.0
506,506,68,1,0.0
507,507,378,6,0.25
508,508,385,6,0.0
509,509,268,1,0.1
510,510,314,2,0.0
511,511,378,5,0.15
512,512,387,6,0.0
513,513,135,1,0.0
514,514,7,1,0.0
515,515,465,1,0.0
516,516,87,1,0.0
517,517,365,2,0.0
518,518,203,1,0.0
