order_id,customer_id,order_date,region,store_id,payment_method
1,1553,2023-02-24,South,12,Card
2,4572,2024-08-24,West,18,Card
3,3717,2024-12-31,South,14,Card
4,4016,2024-10-29,East,26,Cash
5,2963,2023-12-21,North,41,Card
6,913,2024-12-21,North,39,Cash
7,3562,2024-12-12,North,35,Online
8,344,2024-09-28,East,41,Cash
9,1933,2024-05-26,North,33,Card
10,703,2024-11-25,South,15,Cash
11,1899,2024-10-06,South,28,Card
12,3594,2024-11-06,West,7,Cash
13,3233,2024-06-13,South,7,Card
14,4485,2023-09-15,East,26,Online
15,4861,2023-08-15,South,16,Online
16,1849,2023-12-15,North,8,Card
17,3042,2024-02-28,South,40,Online
18,4380,2023-08-24,North,46,Cash
19,3271,2023-06-28,North,40,Card
20,4011,2024-12-26,West,28,Card
21,4987,2023-02-19,North,2,Card
22,3849,2023-04-16,North,6,Card
23,1655,2024-12-12,South,1,Online
24,1022,2023-05-30,West,10,Online
25,3493,2024-04-09,East,44,Online
26,3671,2024-04-02,South,33,Card
27,1077,2023-07-21,East,13,Cash
28,1372,2024-07-01,South,7,Cash
29,2960,2023-03-17,North,40,Card
30,4275,2023-12-06,South,39,Card
31,183,2024-04-08,West,32,Online
32,1770,2024-12-12,South,1,Card
33,497,2024-04-17,North,21,Cash
34,2509,2024-12-31,East,26,Card
35,685,2024-12-02,North,9,Card
36,319,2023-10-26,East,43,Online
37,1436,2024-12-13,West,36,Card
38,2665,2024-11-14,West,5,Cash
39,4325,2024-05-03,South,25,Card
40,1288,2023-12-11,East,34,Cash
41,561,2024-02-25,East,32,Cash
42,1466,2023-12-31,East,11,Card
43,3887,2023-12-18,North,25,Cash
44,1155,2024-09-08,West,45,Card
45,4466,2024-08-01,West,32,Card
46,4707,2023-11-02,East,32,Card
47,1221,2024-03-17,North,45,Card
48,3292,2024-12-28,West,8,Online
49,720,2024-11-19,South,18,Card
50,3770,2023-12-23,West,48,Card
51,1921,2024-11-10,South,8,Card
52,4732,2024-04-29,North,21,Card
53,3170,2024-12-25,East,24,Card
54,3173,2023-10-20,North,26,Card
55,3331,2024-06-25,North,7,Card
56,4452,2023-12-31,East,11,Cash
57,3322,2024-11-28,East,12,Cash
58,1871,2024-12-20,East,38,Card
59,1146,2023-11-22,South,24,Card
60,3374,2023-09-10,East,7,Online
61,2921,2023-12-31,West,2,Card
62,1832,2023-07-02,North,31,Online
63,1377,2024-11-28,East,30,Card
64,2847,2023-10-22,South,34,Card
65,1753,2024-01-03,South,16,Cash
66,2454,2024-08-19,South,36,Cash
67,1717,2024-11-11,East,27,Online
68,3089,2023-01-16,South,4,Card
69,4029,2024-10-18,West,35,Card
70,4585,2023-10-22,East,22,Online
71,4276,2024-05-27,North,35,Cash
72,1708,2023-05-16,South,15,Card
73,2365,2024-08-15,North,40,Card
74,1813,2023-02-04,South,13,Card
75,4427,2024-02-18,West,49,Card
76,2997,2024-10-19,North,27,Cash
77,2080,2024-12-28,West,30,Card
78,4626,2024-09-10,West,16,Online
79,3006,2023-08-23,North,9,Online
80,295,2024-04-02,North,37,Card
81,883,2023-03-10,South,10,Card
82,2740,2023-02-16,West,12,Online
83,4168,2023-03-07,South,3,Card
84,4691,2023-03-20,North,11,Card
85,4232,2024-02-23,South,26,Online
86,3693,2023-04-13,East,23,Online
87,906,2023-07-25,South,18,Card
88,4619,2023-04-09,South,10,Card
89,387,2023-03-13,West,7,Cash
90,573,2024-03-01,East,4,Card
91,4072,2024-06-10,East,8,Online
92,1293,2023-04-17,South,12,Cash
93,4643,2024-08-31,East,38,Online
94,2486,2024-06-19,East,43,Card
95,2159,2024-08-31,West,2,Card
96,2575,2023-03-16,East,49,Online
97,3610,2023-10-31,South,48,Card
98,1989,2023-06-03,East,48,Card
99,4569,2023-12-12,South,34,Online
100,3460,2024-06-12,North,34,Card
101,3447,2024-09-04,East,42,Card
102,56,2023-05-10,South,29,Cash
103,658,2024-11-12,North,4,Cash
104,4737,2024-07-19,South,20,Cash
105,3910,2024-10-25,West,20,Cash
106,795,2024-01-27,South,26,Card
107,1184,2024-01-13,North,10,Card
108,2642,2023-04-16,North,41,Cash
109,4810,2024-12-16,East,24,Card
110,3608,2024-05-15,East,38,Online
111,2094,2023-12-12,South,25,Card
112,5000,2023-03-03,West,14,Cash
113,3563,2023-11-23,East,31,Online
114,856,2023-10-17,South,16,Cash
115,4756,2024-12-27,North,38,Online
116,4207,2024-01-26,North,15,Card
117,4597,2024-04-11,West,12,Online
118,4514,2023-09-18,East,8,Online
119,4371,2024-03-28,North,46,Card
120,3448,2024-04-08,West,27,Card
121,3433,2024-06-15,West,13,Online
122,3749,2024-01-11,North,2,Card
123,3531,2023-07-04,West,23,Cash
124,4895,2023-10-28,East,44,Cash
125,3016,2023-12-11,South,32,Card
126,3568,2023-08-08,North,21,Online
127,3871,2024-06-22,East,1,Card
128,1485,2023-12-03,North,11,Cash
129,4957,2024-02-29,North,4,Online
130,2340,2023-12-15,South,15,Online
131,1859,2023-12-02,South,29,Card
132,2946,2024-10-29,East,6,Online
133,4440,2024-07-07,North,40,Card
134,4753,2023-08-27,West,5,Card
135,3586,2023-09-22,South,12,Cash
136,4357,2023-04-24,West,42,Card
137,4028,2023-05-24,South,41,Card
138,4756,2024-01-27,South,8,Online
139,4678,2023-01-23,West,11,Cash
140,3843,2023-11-02,East,31,Card
141,28,2023-11-06,South,47,Card
142,1899,2023-06-26,North,5,Card
143,2428,2024-09-24,West,26,Cash
144,2576,2023-08-25,East,31,Card
145,3356,2023-05-06,South,7,Online
146,3721,2024-12-24,South,39,Card
