feature,importance
quantity,0.4140506092077471
category_Electronics,0.3550360695692831
category_Furniture,0.1175366519626326
segment_Regular,0.10195741558478257
discount,0.003744278696035145
category_Groceries,0.0018410462560207086
month,0.0013900368303643067
is_weekend,0.0011587677552510004
segment_Wholesale,0.0010437831624852273
age,0.0009263869903995158
is_payday_period,0.0007637295954275882
region_North,0.00017331554042211096
year,0.00013828170036652015
region_South,0.00011028438283679783
region_West,7.160037593997107e-05
is_festive_season,3.518260727235285e-05
is_black_friday,2.255978273350478e-05
