feature,importance
num__selling_price,0.5786566958949493
num__quantity,0.4054463156594454
num__discount,0.015767580229392335
cat__sub_category_Groceries_A,3.14194837655087e-05
cat__category_Groceries,2.6465198961585415e-05
num__age,9.397575701831239e-06
num__day,7.899394377294986e-06
num__month,5.362115361985395e-06
cat__category_Clothing,4.995601842586268e-06
num__day_of_week,4.840880479965838e-06
cat__sub_category_Groceries_D,3.81314945100651e-06
cat__category_Electronics,3.0587651225789074e-06
cat__region_North,2.422102158226104e-06
cat__sub_category_Clothing_A,2.2264564048145484e-06
cat__category_Furniture,2.214419232554771e-06
cat__region_West,1.6794946809977914e-06
cat__segment_Premium,1.6704883788812947e-06
cat__region_East,1.633536929265247e-06
cat__sub_category_Clothing_C,1.6172969945375416e-06
num__year,1.361124861526747e-06
cat__payment_method_Card,1.281221953902493e-06
cat__payment_method_Online,1.2676496286258821e-06
cat__segment_Wholesale,1.138893712862854e-06
cat__segment_Regular,1.1374241227412074e-06
cat__payment_method_Cash,1.1191365630145628e-06
cat__gender_Female,1.095794338250419e-06
cat__gender_Male,1.0762482507387668e-06
cat__sub_category_Clothing_B,1.0260162155984888e-06
cat__sub_category_Furniture_A,9.415640721172733e-07
cat__sub_category_Electronics_D,9.382742215524834e-07
cat__sub_category_Furniture_D,8.778034569130258e-07
cat__sub_category_Clothing_D,8.054286025426513e-07
cat__sub_category_Groceries_B,7.553638948632593e-07
cat__sub_category_Electronics_C,7.055731873611507e-07
cat__sub_category_Electronics_A,6.924388184768074e-07
cat__region_South,6.833645019482627e-07
cat__sub_category_Furniture_B,6.188893877449502e-07
cat__sub_category_Electronics_B,4.760380032262237e-07
cat__sub_category_Groceries_C,3.877258386445586e-07
cat__sub_category_Furniture_C,3.0628273680698844e-07
